project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
pyrofork,20260629_215034,4c9a4f972eb825c825f58d58db542bbd4942f02e,1710826132,"feat(sticker): Adding ""needs_repainting"" attribute to sticker class",False,original,35,0,0,0,0,0,19.425,54.22,original,0.0,0.0,20.53072190284729,0.0,20.53072190284729,,,,,,,,,,,30980
pyrofork,20260629_215034,4c9a4f972eb825c825f58d58db542bbd4942f02e,1710826132,"feat(sticker): Adding ""needs_repainting"" attribute to sticker class",False,pymop,35,0,0,0,0,0,11.076,54.22,pymop,2.2663612365722656,0.5769050121307373,17.75065302848816,0.0,20.59391927719116,0.0,,0.0,,,,2149.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=20<>UnsafeListIterator=2019<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,162187.0,BuiltinAllAnalysis=violation=24720<>ComparisonBehaviorAnalysis=eq_end=272<>InPlaceSortAnalysis=list_used=4252<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=272<>NonFinitesAnalysis=non_finite_op=24720<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=985<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=24726<>WrongTypeAddedAnalysis=check_insert=24726<>WrongTypeAddedAnalysis=check_extend=24726<>WrongTypeAddedAnalysis=check_add=24726<>WrongTypeAddedAnalysis=check_add_assign=985<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=20<>UnsafeDictIterator=updateDict=1898<>UnsafeListIterator=createList=2115<>UnsafeListIterator=updateList=2856<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30980
pyrofork,20260629_215034,4c9a4f972eb825c825f58d58db542bbd4942f02e,1710826132,"feat(sticker): Adding ""needs_repainting"" attribute to sticker class",False,pymop_libs,35,0,0,0,0,0,41.988,54.22,pymop_libs,10.921005010604858,0.6234333515167236,54.018919706344604,0.0,65.56335806846619,0.0,,0.0,,,,6859.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5383<>UnsafeDictIterator=1342<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,2876055.0,BuiltinAllAnalysis=violation=445940<>ComparisonBehaviorAnalysis=ne_end=4622<>ComparisonBehaviorAnalysis=eq_end=23723<>InPlaceSortAnalysis=list_used=61313<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=28333<>NonFinitesAnalysis=non_finite_op=445830<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=12742<>StringStripAnalysis=strip=159<>WrongTypeAddedAnalysis=check_append=453472<>WrongTypeAddedAnalysis=check_insert=453472<>WrongTypeAddedAnalysis=check_extend=453472<>WrongTypeAddedAnalysis=check_add=453472<>WrongTypeAddedAnalysis=check_add_assign=12742<>UnsafeListIterator=createList=12832<>UnsafeListIterator=updateList=2856<>UnsafeDictIterator=createDict=1540<>UnsafeDictIterator=updateDict=9325<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30980
pyrofork,20260629_215034,4c9a4f972eb825c825f58d58db542bbd4942f02e,1710826132,"feat(sticker): Adding ""needs_repainting"" attribute to sticker class",False,dylin,35,0,0,0,0,0,12.379,54.22,dylin,49.68309545516968,0.0,14.282331943511965,0.3222551345825195,64.28768253326416,0.0,,0.0,,,,,,,,30980
pyrofork,20260629_215034,6140e2a8b8746a28f9117564a4feec228bc827e7,1710832650,feat(get_custom_emoji_stickers): Supports passing Int and List parameter,False,original,35,0,0,0,0,0,19.434,54.22,original,0.0,0.0,20.530328512191772,0.0,20.530328512191772,,,,,,,,,,,30982
pyrofork,20260629_215034,6140e2a8b8746a28f9117564a4feec228bc827e7,1710832650,feat(get_custom_emoji_stickers): Supports passing Int and List parameter,False,pymop,35,0,0,0,0,0,11.036,54.22,pymop,1.977836847305298,0.5854356288909912,17.58580255508423,0.0,20.14907503128052,0.0,,0.0,,,,2154.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=20<>UnsafeListIterator=2024<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,162278.0,BuiltinAllAnalysis=violation=24720<>ComparisonBehaviorAnalysis=eq_end=272<>InPlaceSortAnalysis=list_used=4252<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=272<>NonFinitesAnalysis=non_finite_op=24720<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=985<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=24726<>WrongTypeAddedAnalysis=check_insert=24726<>WrongTypeAddedAnalysis=check_extend=24726<>WrongTypeAddedAnalysis=check_add=24726<>WrongTypeAddedAnalysis=check_add_assign=985<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=20<>UnsafeDictIterator=updateDict=1898<>UnsafeListIterator=createList=2115<>UnsafeListIterator=updateList=2856<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1<>PyDocs_MustSortBeforeGroupBy=modify=91,30982
pyrofork,20260629_215034,6140e2a8b8746a28f9117564a4feec228bc827e7,1710832650,feat(get_custom_emoji_stickers): Supports passing Int and List parameter,False,pymop_libs,35,0,0,0,0,0,42.417,54.22,pymop_libs,10.846993684768677,0.5642266273498535,54.49853229522705,0.0,65.90975260734558,0.0,,0.0,,,,6911.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5427<>UnsafeDictIterator=1350<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,2875832.0,BuiltinAllAnalysis=violation=445924<>ComparisonBehaviorAnalysis=ne_end=4623<>ComparisonBehaviorAnalysis=eq_end=23690<>InPlaceSortAnalysis=list_used=61315<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=28301<>NonFinitesAnalysis=non_finite_op=445814<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=12709<>StringStripAnalysis=strip=159<>WrongTypeAddedAnalysis=check_append=453456<>WrongTypeAddedAnalysis=check_insert=453456<>WrongTypeAddedAnalysis=check_extend=453456<>WrongTypeAddedAnalysis=check_add=453456<>WrongTypeAddedAnalysis=check_add_assign=12709<>UnsafeListIterator=createList=12833<>UnsafeListIterator=updateList=2856<>UnsafeDictIterator=createDict=1540<>UnsafeDictIterator=updateDict=9325<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30982
pyrofork,20260629_215034,6140e2a8b8746a28f9117564a4feec228bc827e7,1710832650,feat(get_custom_emoji_stickers): Supports passing Int and List parameter,False,dylin,35,0,0,0,0,0,12.139,54.22,dylin,50.086031675338745,0.0,14.012640953063965,0.3202171325683594,64.41888976097107,0.0,,0.0,,,,,,,,30982
pyrofork,20260629_215035,3b5db0b9886d90066831d462eeb531ce2a53d976,1711194195,"[DNM] Revert ""feat(storage): migrated to aiosqlite""",False,original,35,0,0,0,0,0,19.413,54.22,original,0.0,0.0,20.512165784835815,0.0,20.512165784835815,,,,,,,,,,,30994
pyrofork,20260629_215035,3b5db0b9886d90066831d462eeb531ce2a53d976,1711194195,"[DNM] Revert ""feat(storage): migrated to aiosqlite""",False,pymop,35,0,0,0,0,0,11.025,54.22,pymop,2.2069411277770996,0.5883448123931885,17.602993488311768,0.0,20.398279428482056,0.0,,0.0,,,,2138.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=20<>UnsafeListIterator=2008<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,162187.0,BuiltinAllAnalysis=violation=24720<>ComparisonBehaviorAnalysis=eq_end=272<>InPlaceSortAnalysis=list_used=4252<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=272<>NonFinitesAnalysis=non_finite_op=24720<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=985<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=24726<>WrongTypeAddedAnalysis=check_insert=24726<>WrongTypeAddedAnalysis=check_extend=24726<>WrongTypeAddedAnalysis=check_add=24726<>WrongTypeAddedAnalysis=check_add_assign=985<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=20<>UnsafeDictIterator=updateDict=1898<>UnsafeListIterator=createList=2115<>UnsafeListIterator=updateList=2856<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30994
pyrofork,20260629_215035,3b5db0b9886d90066831d462eeb531ce2a53d976,1711194195,"[DNM] Revert ""feat(storage): migrated to aiosqlite""",False,pymop_libs,35,0,0,0,0,0,41.404,54.22,pymop_libs,10.886092901229858,0.5555322170257568,53.368192195892334,0.0,64.80981731414795,0.0,,0.0,,,,6656.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5198<>UnsafeDictIterator=1324<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,2872725.0,BuiltinAllAnalysis=violation=445414<>ComparisonBehaviorAnalysis=ne_end=4602<>ComparisonBehaviorAnalysis=eq_end=23708<>InPlaceSortAnalysis=list_used=61266<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=28298<>NonFinitesAnalysis=non_finite_op=445304<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=12727<>StringStripAnalysis=strip=159<>WrongTypeAddedAnalysis=check_append=452946<>WrongTypeAddedAnalysis=check_insert=452946<>WrongTypeAddedAnalysis=check_extend=452946<>WrongTypeAddedAnalysis=check_add=452946<>WrongTypeAddedAnalysis=check_add_assign=12727<>UnsafeListIterator=createList=12810<>UnsafeListIterator=updateList=2856<>UnsafeDictIterator=createDict=1540<>UnsafeDictIterator=updateDict=9320<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30994
pyrofork,20260629_215035,3b5db0b9886d90066831d462eeb531ce2a53d976,1711194195,"[DNM] Revert ""feat(storage): migrated to aiosqlite""",False,dylin,35,0,0,0,0,0,12.26,54.22,dylin,49.532631397247314,0.0,14.189702033996582,0.3171455860137939,64.03947901725769,0.0,,0.0,,,,,,,,30994
pyrofork,20260629_215035,92e4ca845b48f3e20cc394576ae38154fbdbc6aa,1706737222,Increase watchdog interval to 15 minutes,False,original,35,0,0,0,0,0,19.516,54.22,original,0.0,0.0,20.615325450897217,0.0,20.615325450897217,,,,,,,,,,,30994
pyrofork,20260629_215035,92e4ca845b48f3e20cc394576ae38154fbdbc6aa,1706737222,Increase watchdog interval to 15 minutes,False,pymop,35,0,0,0,0,0,11.131,54.22,pymop,1.9500739574432373,0.5775253772735596,18.006832361221313,0.0,20.53443169593811,0.0,,0.0,,,,2159.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=20<>UnsafeListIterator=2029<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,163065.0,BuiltinAllAnalysis=violation=24720<>ComparisonBehaviorAnalysis=eq_end=272<>InPlaceSortAnalysis=list_used=4252<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=272<>NonFinitesAnalysis=non_finite_op=24720<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=985<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=24726<>WrongTypeAddedAnalysis=check_insert=24726<>WrongTypeAddedAnalysis=check_extend=24726<>WrongTypeAddedAnalysis=check_add=24726<>WrongTypeAddedAnalysis=check_add_assign=985<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=20<>UnsafeDictIterator=updateDict=1898<>UnsafeListIterator=createList=2115<>UnsafeListIterator=updateList=2856<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1<>PyDocs_MustSortBeforeGroupBy=modify=878,30994
pyrofork,20260629_215035,92e4ca845b48f3e20cc394576ae38154fbdbc6aa,1706737222,Increase watchdog interval to 15 minutes,False,pymop_libs,35,0,0,0,0,0,42.21,54.22,pymop_libs,10.974355697631836,0.6327395439147949,54.53692984580994,0.0,66.14402508735657,0.0,,0.0,,,,6674.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5231<>UnsafeDictIterator=1309<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,2872065.0,BuiltinAllAnalysis=violation=445348<>ComparisonBehaviorAnalysis=ne_end=4602<>ComparisonBehaviorAnalysis=eq_end=23642<>InPlaceSortAnalysis=list_used=61266<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=28232<>NonFinitesAnalysis=non_finite_op=445238<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=12661<>StringStripAnalysis=strip=159<>WrongTypeAddedAnalysis=check_append=452880<>WrongTypeAddedAnalysis=check_insert=452880<>WrongTypeAddedAnalysis=check_extend=452880<>WrongTypeAddedAnalysis=check_add=452880<>WrongTypeAddedAnalysis=check_add_assign=12661<>UnsafeListIterator=createList=12810<>UnsafeListIterator=updateList=2856<>UnsafeDictIterator=createDict=1540<>UnsafeDictIterator=updateDict=9320<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30994
pyrofork,20260629_215035,92e4ca845b48f3e20cc394576ae38154fbdbc6aa,1706737222,Increase watchdog interval to 15 minutes,False,dylin,35,0,0,0,0,0,12.28,54.22,dylin,51.187495470047,0.0,14.176853895187378,0.3216571807861328,65.68600654602051,0.0,,0.0,,,,,,,,30994
pyrofork,20260629_215035,3f34c9617561ca137290b73195bd40c011258b8f,1707659507,Fix ConnectionResetError when only ping task,False,original,35,0,0,0,0,0,19.461,54.22,original,0.0,0.0,20.56193685531616,0.0,20.56193685531616,,,,,,,,,,,30997
pyrofork,20260629_215035,3f34c9617561ca137290b73195bd40c011258b8f,1707659507,Fix ConnectionResetError when only ping task,False,pymop,35,0,0,0,0,0,10.887,54.22,pymop,2.017956256866455,0.6004202365875244,17.523247957229614,0.0,20.141624450683594,0.0,,0.0,,,,2152.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=20<>UnsafeListIterator=2022<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,162250.0,BuiltinAllAnalysis=violation=24720<>ComparisonBehaviorAnalysis=eq_end=272<>InPlaceSortAnalysis=list_used=4252<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=272<>NonFinitesAnalysis=non_finite_op=24720<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=985<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=24726<>WrongTypeAddedAnalysis=check_insert=24726<>WrongTypeAddedAnalysis=check_extend=24726<>WrongTypeAddedAnalysis=check_add=24726<>WrongTypeAddedAnalysis=check_add_assign=985<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=20<>UnsafeDictIterator=updateDict=1898<>UnsafeListIterator=createList=2115<>UnsafeListIterator=updateList=2856<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1<>PyDocs_MustSortBeforeGroupBy=modify=63,30997
pyrofork,20260629_215035,3f34c9617561ca137290b73195bd40c011258b8f,1707659507,Fix ConnectionResetError when only ping task,False,pymop_libs,35,0,0,0,0,0,41.792,54.22,pymop_libs,10.61593461036682,0.5519437789916992,53.54050660133362,0.0,64.70838499069214,0.0,,0.0,,,,6777.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5320<>UnsafeDictIterator=1323<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>PyDocs_MustSortBeforeGroupBy=1,2872725.0,BuiltinAllAnalysis=violation=445414<>ComparisonBehaviorAnalysis=ne_end=4602<>ComparisonBehaviorAnalysis=eq_end=23708<>InPlaceSortAnalysis=list_used=61266<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=28298<>NonFinitesAnalysis=non_finite_op=445304<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=12727<>StringStripAnalysis=strip=159<>WrongTypeAddedAnalysis=check_append=452946<>WrongTypeAddedAnalysis=check_insert=452946<>WrongTypeAddedAnalysis=check_extend=452946<>WrongTypeAddedAnalysis=check_add=452946<>WrongTypeAddedAnalysis=check_add_assign=12727<>UnsafeListIterator=createList=12810<>UnsafeListIterator=updateList=2856<>UnsafeDictIterator=createDict=1540<>UnsafeDictIterator=updateDict=9320<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>PyDocs_MustSortBeforeGroupBy=sort=1,30997
pyrofork,20260629_215035,3f34c9617561ca137290b73195bd40c011258b8f,1707659507,Fix ConnectionResetError when only ping task,False,dylin,35,0,0,0,0,0,12.221,54.22,dylin,47.337990045547485,0.0,14.120256423950195,0.3191442489624023,61.77739071846008,0.0,,0.0,,,,,,,,30997
pyrofork,20260629_215035,5de44baff4705057621262307fde39e072ac92aa,1711194973,Pyrofork: Bump version to 2.3.20,False,original,35,0,0,0,0,0,19.467,54.22,original,0.0,0.0,20.57164168357849,0.0,20.57164168357849,,,,,,,,,,,30997
